,Company,Total,Employees,AnnualRevenue,BCGTop50,ForbesTop100
103,CIRCLES LIFE TECHNOLOGY PTE. LTD.,59,500,100mil USD,,
104,TABLEAU ASIA PACIFIC PTE. LTD.,59,4500,1.3bn USD,,
105,Pixel Mechanics Pte Ltd,58,11-50e,,,
106,EQUINIX ASIA PACIFIC PTE. LTD.,57,7800,5.56bn USD,,
107,SAP ASIA PTE. LTD.,57,100330,27.55bn EUR,Yes,
108,DigiFort Singapore Pte Ltd,57,26,5mil USD,,
109,Qoo10 Singapore,55,650,60mil USD,,
110,IFIS ASIA HOLDINGS PTE. LTD.,55,10-19e,,,
111,3Mobile,55,4800,1.116bn GBP,,
112,RAZER (ASIA-PACIFIC) PTE. LTD.,55,1451,447.5mil USD,,
113,Fave (previously Groupon),54,375,200mil USD,,
114,Alteryx,54,1300,418mil USD,,
115,A-ChieveMent Solution (S) Pte Ltd,54,1-10e,,,
116,Verizon,53,135300,131.9bn USD,,
117,Onasus Pte Ltd,53,100-500e,,,
118,Dathena,53,82,1.5mil USD,,
119,IBM SINGAPORE PTE LTD,52,352600,77.14bn USD,Yes,
120,Garena,51,1001-5000e,,,
121,Twilio,50,2500,1.134bn USD,,
122,Confidential,50,,,,
123,TeleChoice International Limited,50,383,359mil USD,,
124,HUAWEI INTERNATIONAL PTE. LTD.,50,194000,105.1bn USD,Yes,
125,In Mind Cloud Pte Ltd,49,52,6.8mil USD,,
126,VALEURHR PTE. LTD.,48,700-1000e,,,
127,HEWLETT-PACKARD ASIA PACIFIC PTE. LTD.,48,61600,30.85bn USD,,
128,interTouch Pte. Ltd,47,640,50mil USD,,
129,Intercorp Solutions Pte Ltd,46,24,4mil USD,,
130,HP PPS ASIA PACIFIC PTE. LTD.,46,56000,58.75bn USD,Yes,
131,Moneymax Financial Services,46,160,107mil USD,,
132,Spectrum Audio Visual Pte Ltd,45,47,9mil USD,,
133,UFINITY PTE LTD,45,36,6mil USD,,
134,ROOTS Communications Pte Ltd,45,147,30mil USD,,
135,AppDynamics,45,600,143.8mil USD,,
136,Yolo Technology Pte Ltd,45,11-50e,,,
137,HCL Insys Pte Ltd,44,1207,638.5mil USD,,
138,STARVISION INFORMATION TECHNOLOGY PTE LTD,44,23,4mil USD,,
139,CTC GLOBAL PTE. LTD.,44,200,6mil USD,,
